intent_id,priority,awaiting_field,unresolved,missing,present,entity_values,eliza_de,extra,comments
,70,none,None,None,billing_moretopics,"[('billing_moretopics', 'billexplain')]",{{intent:billing_explain}},BILL-002
,70,none,None,None,billing_moretopics,"[('billing_moretopics', 'billhighmorereasons')]",{{intent:billing_high_morereasons}},BILL-010
,70,none,None,None,billing_moretopics,"[('billing_moretopics', 'moreaboutinvoice')]",{{intent:billing_moreaboutinvoice}},BILL-004
billing_moreaboutinvoice,100,billing_invoiceoptions,None,billing_invoiceoptions,None,,"[
  {
    ""ResponseType"": 0,
    ""ResponseValue"": {
      ""text"": ""Zu welchem dieser Themen kann ich Ihnen weiterhelfen?"",
      ""spokenText"": ""Zu welchem dieser Themen kann ich Ihnen weiterhelfen?""
    },
    ""ResponseTrigger"": null
  },
  {
    ""ResponseType"": 3,
    ""ResponseTrigger"": {
      ""timeDelayInSecs"": 5
    },
    ""ResponseValue"": {
      ""cards"": [
        {
          ""text"": ""Möchten Sie mehr zum Thema Online-Rechnung erfahren?"",
          ""spokenText"": ""Möchten Sie mehr zum Thema Online-Rechnung erfahren?"",
          ""options"": [
            {
              ""text"": ""Online Rechnung"",
              ""spokenText"": ""Online Rechnung"",
              ""nluentityvalue"": ""Online Rechnung""
            }
          ]
        },
        {
          ""text"": ""Haben Sie Fragen zum Thema  Zahlung und Gebühren?"",
          ""spokenText"": ""Haben Sie Fragen zum Thema  Zahlung und Gebühren?"",
          ""options"": [
            {
              ""text"": ""Zahlung und Gebühren"",
              ""spokenText"": ""Zahlung und Gebühren"",
              ""nluentityvalue"": ""Zahlung und Gebuhren""
            }
          ]
        },
        {
          ""text"": ""Sie können auch zwischen E-Mail- oder Papierrechnung wählen."",
          ""spokenText"": ""Sie können auch zwischen E-Mail- oder Papierrechnung wählen."",
          ""options"": [
            {
              ""text"": ""E-Mail- oder Papierrechnung aktivieren"",
              ""spokenText"": ""E-Mail- oder Papierrechnung aktivieren"",
              ""nluentityvalue"": ""E-Mail- oder Papierrechnung aktivieren""
            }
          ]
        },
        {
          ""text"": ""Oder möchten Sie sich zu Ihren Tarifdetails auf der Rechnung informieren?"",
          ""spokenText"": ""Oder möchten Sie sich zu Ihren Tarifdetails auf der Rechnung informieren?"",
          ""options"": [
            {
              ""text"": ""Alle Fragen zur Rechnung"",
              ""spokenText"": ""Alle Fragen zur Rechnung"",
              ""nluentityvalue"": ""Alle Fragen zur Rechnung""
            }
          ]
        }
      ]
    }
  }
]",BILL-004
,90,billing_invoiceoptions,billing_invoiceoptions,None,None,,"[
  {
    ""ResponseType"": 0,
    ""ResponseValue"": {
      ""text"": ""Zu welchem dieser Themen kann ich Ihnen weiterhelfen?"",
      ""spokenText"": ""Zu welchem dieser Themen kann ich Ihnen weiterhelfen?""
    },
    ""ResponseTrigger"": null
  },
  {
    ""ResponseType"": 3,
    ""ResponseTrigger"": {
      ""timeDelayInSecs"": 5
    },
    ""ResponseValue"": {
      ""cards"": [
        {
          ""text"": ""Möchten Sie mehr zum Thema Online-Rechnung erfahren?"",
          ""spokenText"": ""Möchten Sie mehr zum Thema Online-Rechnung erfahren?"",
          ""options"": [
            {
              ""text"": ""Online Rechnung"",
              ""spokenText"": ""Online Rechnung"",
              ""nluentityvalue"": ""Online Rechnung""
            }
          ]
        },
        {
          ""text"": ""Haben Sie Fragen zum Thema  Zahlung und Gebühren?"",
          ""spokenText"": ""Haben Sie Fragen zum Thema  Zahlung und Gebühren?"",
          ""options"": [
            {
              ""text"": ""Zahlung und Gebühren"",
              ""spokenText"": ""Zahlung und Gebühren"",
              ""nluentityvalue"": ""Zahlung und Gebuhren""
            }
          ]
        },
        {
          ""text"": ""Sie können auch zwischen E-Mail- oder Papierrechnung wählen."",
          ""spokenText"": ""Sie können auch zwischen E-Mail- oder Papierrechnung wählen."",
          ""options"": [
            {
              ""text"": ""E-Mail- oder Papierrechnung aktivieren"",
              ""spokenText"": ""E-Mail- oder Papierrechnung aktivieren"",
              ""nluentityvalue"": ""E-Mail- oder Papierrechnung aktivieren""
            }
          ]
        },
        {
          ""text"": ""Oder möchten Sie sich zu Ihren Tarifdetails auf der Rechnung informieren?"",
          ""spokenText"": ""Oder möchten Sie sich zu Ihren Tarifdetails auf der Rechnung informieren?"",
          ""options"": [
            {
              ""text"": ""Alle Fragen zur Rechnung"",
              ""spokenText"": ""Alle Fragen zur Rechnung"",
              ""nluentityvalue"": ""Alle Fragen zur Rechnung""
            }
          ]
        }
      ]
    }
  }
]",BILL-004
,90,none,None,None,billing_invoiceoptions,"[('billing_invoiceoptions', 'onlineInvoice')]","[
  {
    ""ResponseType"": 1,
    ""ResponseValue"": {
      ""text"": ""In Ihrer Online Rechnung können Sie Ihre letzten sechs Rechnungen und Einzelgesprächsnachweise einsehen, abspeichern und auch ausdrucken."",
      ""spokenText"": ""In Ihrer Online Rechnung können Sie Ihre letzten sechs Rechnungen und Einzelgesprächsnachweise einsehen, abspeichern und auch ausdrucken."",
      ""options"": [
        {
          ""text"": ""Zur Online Rechnung "",
          ""spokenText"": ""Zur Online Rechnung "",
          ""url"": ""https://mein.t-mobile.at/myTNT/portlet.page?shortcut=ebill""
        }
      ]
    },
    ""ResponseTrigger"": null
  }
]",BILL-026
,90,none,None,None,billing_invoiceoptions,"[('billing_invoiceoptions', 'payment')]",{{intent:billing_payment}},
,90,none,None,None,billing_invoiceoptions,"[('billing_invoiceoptions', 'billemailorpaper')]",{{intent:billing_activatebill}},
,90,none,None,None,billing_invoiceoptions,"[('billing_invoiceoptions', 'allquestions')]",{{intent:billing_invoice_allquestions}},
billing_payment,100,none,None,None,None,,"[
  {
    ""ResponseType"": 3,
    ""ResponseTrigger"": null,
    ""ResponseValue"": {
      ""cards"": [
        {
          ""text"": ""In unseren FAQs haben wir die verschiedenen Zahlungsarten aufgelistet, die Ihnen bei T-Mobile zur Verfügung stehen."",
          ""spokenText"": ""In unseren FAQs haben wir die verschiedenen Zahlungsarten aufgelistet, die Ihnen bei T-Mobile zur Verfügung stehen."",
          ""options"": [
            {
              ""text"": ""Zu den FAQs"",
              ""spokenText"": ""Zu den FAQs"",
              ""url"": ""http://www.t-mobile.at/faq/#!rechnung/zahlung/frage/5121""
            }
          ]
        },
        {
          ""text"": ""Für die Zahlungsart Bankeinzug können Sie in Mein T-Mobile Ihre Kontodaten eingeben oder ändern."",
          ""spokenText"": ""Für die Zahlungsart Bankeinzug können Sie in Mein T-Mobile Ihre Kontodaten eingeben oder ändern."",
          ""options"": [
            {
              ""text"": ""Zahlungsart ändern"",
              ""spokenText"": ""Zahlungsart ändern"",
              ""url"": ""https://mein.t-mobile.at/myTNT/portlet.page?shortcut=payment""
            }
          ]
        },
        {
          ""text"": ""Für die Umstellung auf eine andere Zahlungsart kontaktieren Sie am besten unseren LiveChat."",
          ""spokenText"": ""Für die Umstellung auf eine andere Zahlungsart kontaktieren Sie am besten unseren LiveChat."",
          ""options"": [
            {
              ""text"": ""LiveChat kontaktieren"",
              ""spokenText"": ""LiveChat kontaktieren"",
              ""url"": ""https://www.t-mobile.at/service/#livechat""
            }
          ]
        }
      ]
    }
  }
]",BILL-027
